id_mahasiswa,jumlah_siswa_1_5,indeks_mapel_un_1_5,ranking_mapel_un_1_5,jumlah_siswa_3_5,indeks_mapel_un_3_5,ranking_mapel_un_3_5,lulus_tpb
1,3,78.8165,1,3,79.0972,1,1
2,157,80.92,39,157,82.18,46,0
3,68,85.4865,11,68,83.7143,6,1
4,34,84.7756,13,34,83.7386,5,1
5,83,78.2963,16,83,78.7778,19,1
6,157,77.68,113,157,79.45,110,1
7,140,80.48,44,140,82.24,42,1
8,67,87.973,39,67,86.1905,48,1
9,67,89.2973,33,67,89.9048,34,1
10,208,84.02,49,208,87.01,43,1
11,32,91.5986,3,32,93.3636,2,1
12,224,83.1518,111,224,85.5556,86,1
13,120,79.26,24,120,81.14,24,1
14,224,83.30,105,224,85.89,71,1
15,102,84.37,4,102,85.11,7,1
16,224,82.40,139,224,85.28,95,0
17,40,83.09,3,40,84.67,2,1
18,224,85.89,22,224,88.39,18,1
19,224,83.4464,93,224,86,68,1
20,224,84.24,64,224,85.50,88,1
21,224,85.72,24,224,87.72,26,1
22,224,87.9286,9,224,89.7778,11,1
23,157,86.8172,6,157,88.5833,5,1
24,224,83.44,94,224,85.72,81,1
25,224,83.0357,116,224,84.8889,112,1
26,140,80.22,50,140,81.87,49,1
27,148,89.0956,5,148,88.9419,9,1
28,36,82.7297,2,36,80.9524,1,1
29,73,88.61,2,73,88.83,2,1
30,71,87.17,14,71,88.14,13,1
31,50,89.1081,12,50,89.8571,11,0
32,186,79.30,125,186,70.16,55,1
33,173,81.02,86,173,81.71,62,1
34,63,84.85,2,63,84.99,2,1
35,46,85.37,8,46,87.61,6,1
36,23,81.027,3,23,81.5714,3,1
37,9,83.9671,2,9,83.6565,2,1
38,140,80.22,50,140,82.02,44,1
39,299,81.81,187,299,83.30,161,0
40,140,82.32,20,140,84.15,14,1
41,8,85.4797,4,8,89.1128,3,1
42,255,79.8968,66,255,81.7179,76,1
43,299,82.8878,147,299,84.0303,127,1
44,263,83.52,41,263,86.28,40,0
45,299,84.00,101,299,85.12,80,0
46,299,82.60,156,299,83.82,133,1
47,263,83.0556,69,263,85.6111,77,1
48,133,82.62,41,133,84.48,42,1
49,212,82.625,72,212,85.5273,66,1
50,198,81.2294,56,198,82.8889,43,1
51,110,84.2202,53,110,86.2466,49,1
52,151,84.3388,60,151,87.1481,45,1
53,34,83.4205,26,34,81.1545,24,1
54,27,80.7037,17,27,81.2222,18,0
55,263,81.9815,137,263,84.3333,148,1
56,33,85.4074,13,33,87.3889,9,1
57,240,81.3106,125,240,81.3106,145,1
58,299,83.1869,139,299,84.2424,117,1
59,186,87.07,7,186,67.40,93,1
60,94,81.8185,18,94,82.3788,21,1
61,73,86.94,9,73,87.89,8,1
62,73,86.4815,14,73,87.3333,12,1
63,27,85.272,3,27,86.2179,3,1
64,104,85.7094,41,104,88.3377,27,1
65,157,82.81,19,157,85.67,11,1
66,60,81.1636,14,60,80.5405,18,1
67,186,79.2632,126,186,70.8,42,1
68,117,79.992,22,117,83.6353,12,0
69,186,82.58,37,186,73.68,14,1
70,140,80.65,41,140,82.53,36,1
71,39,79.7981,30,39,79.6667,28,1
72,363,84.7707,157,363,86.062,141,1
73,134,83.69,4,134,86.48,5,1
74,38,82.0135,2,38,82.9762,3,0
75,299,81.8972,184,299,82.6667,186,1
76,136,87.1111,41,136,89.2778,30,1
77,299,85.66,56,299,86.27,53,1
78,256,86.05,47,256,88.21,41,1
79,136,87.4259,30,136,89.5,21,1
80,103,80.1346,50,103,80.5758,52,1
81,106,80.9519,51,106,82.3333,41,1
82,208,82.82,94,208,86.83,48,1
83,102,79.95,71,102,79.42,66,1
84,160,85.92,64,160,90.67,56,1
85,173,80.7576,101,173,81.0408,98,1
86,73,86.13,17,73,87.44,11,1
87,102,86.14,19,102,84.96,18,1
88,102,87.25,12,102,85.95,12,1
89,160,83.82,99,160,89.00,84,1
90,77,83.0741,35,77,83.3889,43,1
91,98,80.4206,54,98,80.8788,52,1
92,54,80.2973,9,54,81,9,0
93,93,79.8654,35,93,81.9394,34,1
94,93,81.5962,30,93,85.7576,27,0
95,65,80.50,13,65,82.56,14,1
96,106,79.52,8,106,81.51,10,1
97,21,78.35,5,21,81.06,4,0
98,299,82.0467,181,299,83.4242,156,1
99,256,88.4712,12,256,90.1818,10,1
100,104,76.6111,55,104,79.7222,39,1
101,141,80.2377,58,141,80.775,89,0
102,186,81.3333,15,186,83.7222,15,1
103,149,82.41,32,149,83.82,39,1
104,299,80.7757,226,299,82.1212,201,0
105,149,80.70,67,149,82.67,58,1
106,148,85.81,33,148,86.79,32,1
107,154,85.8846,50,154,87.5758,44,0
108,38,81.6216,4,38,82.7619,4,1
109,98,79.2991,79,98,80.0909,73,1
110,154,86.8942,31,154,87.7273,42,1
111,93,79.33,37,93,81.09,36,1
112,208,83.4068,74,208,85.8333,89,1
113,299,83.28,133,299,84.52,102,1
114,299,82.14,178,299,83.52,147,1
115,110,85.21,5,110,85.95,9,0
116,126,86.24,36,126,87.27,35,0
117,27,84.3148,5,27,85.3333,5,1
118,78,92.4906,7,78,93.2286,10,1
119,78,92.8302,6,78,93.8,8,1
120,116,81.5431,17,116,81.4231,20,0
121,102,84.7153,26,102,84.3329,22,1
122,132,88.37,9,132,90.91,8,0
123,25,80.7568,21,25,81.2381,18,1
124,31,81.0541,3,31,83.4286,5,0
125,93,81.12,31,93,85.85,25,1
126,212,85.26,15,212,88.40,13,1
127,93,83.6346,15,93,85.4545,30,1
128,208,82.20,120,208,86.10,82,1
129,263,83.6111,37,263,85.9444,61,1
130,208,81.2458,166,208,84.3718,137,1
131,263,83.67,33,263,86.67,25,1
132,263,83.35,52,263,86.44,33,1
133,193,78.6731,58,193,79.3333,86,1
134,66,83.92,8,66,85.69,8,1
135,256,86.30,102,256,88.17,98,1
136,122,89.68,62,122,90.79,51,0
137,73,82.6034,5,73,83.7051,21,1
138,208,83.4322,72,208,86.8077,50,1
139,134,76.4712,54,134,77.9773,50,1
140,194,87.11,21,194,89.00,27,1
141,194,85.41,48,194,88.24,41,1
142,255,77.83,149,255,80.00,142,1
143,104,84.9658,56,104,86.5065,63,0
144,86,85.64,7,86,87.00,8,1
145,149,80.90,60,149,82.54,62,1
146,186,81.33,15,186,83.11,19,1
147,136,87.30,36,136,89.11,33,1
148,93,81.9286,2,93,84.1053,2,1
149,269,79.8558,164,269,79.7273,181,1
150,189,88.33,23,189,87.10,28,0
151,106,79.45,10,106,81.42,11,1
152,363,83.0955,299,363,84.7257,266,1
153,72,79.8249,32,72,80.1443,41,1
154,5,87.4704,3,5,87.7561,3,1
155,463,84.9615,322,463,86.5758,328,1
156,117,84.85,40,117,86.21,26,1
157,117,84.4615,56,117,85.2121,45,1
158,102,82.02,50,102,81.97,38,1
159,147,84.27,14,147,84.27,7,0
160,463,85.75,233,463,86.6364,322,1
161,102,79.8003,73,102,79.0651,71,0
162,110,81.1818,25,110,79.1765,55,1
163,132,90.41,2,132,92.79,3,1
164,263,82.7222,93,263,85.4444,87,1
165,160,83.1638,113,160,88.2778,103,1
166,99,85.57,22,99,85.78,25,0
167,126,89.03,9,126,89.82,11,1
168,263,82.8519,81,263,86.3333,36,1
169,124,81.3148,12,124,83.3333,10,1
170,171,90.1667,2,171,91.9444,2,1
171,120,78.76,32,120,79.79,46,1
172,243,88.1491,3,243,89.5417,15,1
173,25,76.8547,15,25,79.9467,13,1
174,104,81.2672,32,104,83.1795,22,0
175,186,78.38,161,186,68.68,86,1
176,117,86.37,19,117,86.94,19,1
177,75,92.1286,11,75,94.131,11,1
178,14,79.8003,14,14,79.5238,13,0
179,132,78.9904,85,132,80.6061,81,0
180,152,82.8468,79,152,83.3067,82,0
181,42,90.0556,1,42,92,1,1
182,98,85.1808,6,98,83.7548,14,1
183,140,80.4453,46,140,81.8605,51,0
184,102,81.9528,52,102,80.7886,48,1
185,234,80.0385,149,234,82.6667,58,1
186,64,82.1081,3,64,82.5714,1,1
187,124,86.8148,4,124,87.8889,3,1
188,38,84,18,38,87.4342,14,0
189,49,83.15,5,49,85.13,5,0
190,160,85.4655,67,160,89.3889,76,1
191,7,78.479,7,7,80.5008,7,1
192,117,81.12,61,117,84.39,44,1
193,112,85.40,7,112,86.16,8,1
194,189,83.95,131,189,83.19,129,1
195,149,83.1656,17,149,84.4709,28,1
196,154,84.8558,81,154,86.303,85,1
197,141,80.1731,13,141,80.3636,22,1
198,241,78.246,174,241,80.3333,149,1
199,190,78.4074,77,190,81.8889,50,1
200,263,83.537,39,263,86.2222,44,1
201,17,85.4444,4,17,86.4444,2,1
202,149,80.94,59,149,82.35,64,1
203,229,80.14,128,229,81.97,120,0
204,102,81.1481,47,102,82.4444,39,1
205,117,83.6061,71,117,83.6061,81,1
206,148,86.90,18,148,88.26,15,1
207,226,87.2963,23,226,88.8889,14,1
208,154,86.4423,37,154,87.2121,51,1
209,131,86.09,47,131,87.13,40,0
210,76,90,9,76,91.6667,5,1
211,189,85.62,88,189,85.39,72,1
212,54,79.8409,5,54,82.5172,3,1
213,102,85.46,22,102,84.80,19,1
214,129,78.7778,90,129,80,76,1
215,136,87.11,41,136,88.78,44,1
216,38,81.7635,3,38,83.25,2,0
217,110,83.79,15,110,85.37,13,1
218,363,86.2803,59,363,87.2743,73,1
219,99,87.75,7,99,88.44,6,1
220,152,82.75,83,152,83.51,77,1
221,120,78.57,35,120,80.32,38,1
222,194,86.23,36,194,88.70,33,1
223,227,84.7265,13,227,87,13,1
224,100,83.125,1,100,82.5455,5,1
225,107,87.463,3,107,88.0556,2,1
226,100,81.97,7,100,82.52,6,1
227,131,80.45,34,131,81.97,50,0
228,108,80.1091,25,108,81.9706,30,1
229,120,77.5294,58,120,79.4935,56,1
230,109,81.4377,64,109,82.7811,61,1
231,67,83.5185,37,67,84.8333,44,1
232,210,87.5769,143,210,87.5455,138,1
233,147,81.54,34,147,81.42,24,1
234,99,82.62,10,99,83.72,9,1
235,103,78.5,16,103,80.1111,9,1
236,119,80.7019,51,119,69.0513,45,1
237,117,75.8672,80,117,77.9643,76,1
238,189,82.76,151,189,84.13,113,1
239,152,83.54,66,152,84.63,55,1
240,148,82.6324,98,148,84.3605,88,1
241,255,79.5952,73,255,82.5513,56,1
242,75,81.0847,20,75,83.6053,17,1
243,33,80.5676,8,33,81.8095,6,1
244,176,91.5833,10,176,91.9778,16,1
245,152,83.54,66,152,83.88,70,1
246,74,83.07,2,74,84.89,2,0
247,160,84.1034,93,160,89.1111,82,1
248,106,77.0192,73,106,77.6667,66,1
249,102,83.537,10,102,84.9444,10,1
250,147,79.00,74,147,79.26,63,1
251,256,86.87,32,256,88.82,30,0
252,205,79.9808,113,205,81.9394,91,1
253,131,85.83,5,131,87.89,3,1
254,111,79.35,37,111,80.58,37,1
255,44,83.47,2,44,84.89,2,1
256,121,75.7692,47,121,79.1364,41,0
257,147,80.73,46,147,80.76,36,1
258,212,81.73,98,212,84.13,106,0
259,70,82.60,12,70,85.58,7,1
260,100,79.28,27,100,79.06,25,1
261,110,83.40,18,110,83.82,33,1
262,117,81.5614,54,117,83.3919,56,1
263,126,85.10,63,126,85.91,63,1
264,70,82.5,4,70,84.5556,4,1
265,141,77.625,90,141,77.9394,97,0
266,200,80.963,122,200,82.8889,101,1
267,132,81.82,47,132,83.91,46,1
268,107,86.65,21,107,89.03,13,1
269,86,86.4544,7,86,85.4646,10,1
270,190,79.54,104,190,80.83,113,1
271,87,82.57,3,87,84.61,4,1
272,76,89.8649,11,76,90.4762,17,1
273,104,83.14,13,104,85.47,12,1
274,85,80.3134,16,85,78.896,23,1
275,149,82.2909,88,149,84,74,1
276,102,80.9259,57,102,82.1667,51,0
277,141,85.59,1,141,86.24,1,1
278,198,83.5769,99,198,87.0909,79,1
279,186,81.47,58,186,72.64,20,1
280,141,80.55,10,141,81.42,9,1
281,160,85.95,62,160,90.17,62,1
282,55,83.2143,5,55,83.4444,5,0
283,226,85.1111,123,226,86.6667,89,1
284,58,85.4759,24,58,85.6005,18,1
285,154,85.23,70,154,87.00,56,1
286,269,84.8173,49,269,86.8788,51,1
287,93,85.10,6,93,88.48,3,1
288,31,78.2432,10,31,79.1429,10,1
289,148,86.16,27,148,86.64,37,1
290,187,81.31,125,187,82.57,93,1
291,31,77.3243,18,31,78.2381,13,1
292,201,83.969,18,201,85.0805,19,1
293,211,81.2981,99,211,82.2727,119,1
294,119,83.99,19,119,71.64,22,1
295,171,84.4667,61,171,86.2222,58,1
296,154,85.14,73,154,86.91,59,1
297,156,87.32,38,156,89.36,28,1
298,93,79.1964,29,93,80.7632,32,1
299,59,76.6757,42,59,77.5714,32,1
300,141,78.50,59,141,79.45,45,0
301,156,86.9538,49,156,89.0256,39,1
302,47,79.027,6,47,78.6667,4,1
303,190,81.02,57,190,83.06,33,1
304,36,78.4595,28,36,76.8571,26,1
305,153,82.00,27,153,83.67,29,1
306,160,87.1207,45,160,91.0556,51,1
307,119,85.23,9,119,72.87,12,1
308,256,83.3846,150,256,84.9394,161,1
309,299,80.26,244,299,81.58,215,1
310,102,81.0741,51,102,82.7222,29,1
311,42,85.4741,26,42,82.2812,20,0
312,156,85.2923,119,156,87.4103,105,1
313,109,92.52,10,109,92.61,11,1
314,172,79.9808,111,172,81.7879,92,1
315,86,77.496,44,86,75.5391,46,1
316,42,81.21,11,42,84.15,3,1
317,38,79.0164,20,38,80.2703,15,1
318,119,79.9765,78,119,67.7179,85,1
319,153,82.2404,17,153,83.6061,16,1
320,33,80.5135,9,33,81.381,9,1
321,20,82.73,4,20,84.82,3,1
322,108,81.3077,46,108,82.7879,42,1
323,17,89.4432,1,17,88.3846,1,1
324,20,82.13,5,20,84.54,4,1
325,230,83.4654,30,230,83.7809,38,1
326,263,82.43,104,263,85.72,73,1
327,33,80.6216,6,33,81.4286,8,1
328,108,83.60,24,108,84.52,27,1
329,131,82.54,53,131,84.22,52,1
330,222,84.5312,104,222,86.5455,83,0
331,212,77.7833,134,212,78.5375,149,0
332,161,81.09,32,161,79.94,65,1
333,100,80.8421,24,100,80.7778,34,1
334,255,82.6508,17,255,84.4231,21,1
335,194,85.49,46,194,88.52,38,1
336,194,87.46,17,194,89.88,17,1
337,119,80.1818,68,119,67.8462,81,1
338,190,80.26,83,190,82.11,55,1
339,121,78.34,21,121,82.53,16,0
340,299,80.7664,228,299,81.5455,218,1
341,189,84.74,106,189,83.74,123,1
342,86,82.87,27,86,83.36,29,1
343,194,85.01,60,194,87.91,47,0
344,256,87.32,26,256,88.64,37,1
345,194,87.55,16,194,88.45,39,0
346,194,84.87,65,194,87.61,57,1
347,171,83.3519,15,171,84.6111,12,1
348,256,86.09,46,256,87.58,51,0
349,99,82.63,9,99,83.50,16,1
350,70,80.037,25,70,82.3889,21,1
351,167,82.9038,105,167,84.3333,99,1
352,87,82.50,4,87,84.56,5,1
353,55,81.0119,21,55,81.1667,23,1
354,141,78.67,51,141,78.58,71,1
355,58,86.5138,12,58,86.5243,7,1
356,256,84.13,106,256,85.67,119,1
357,200,80.9259,130,200,81.9444,111,1
358,116,79.9107,59,116,82.4444,48,1
359,160,84.14,91,160,88.94,85,1
360,154,85.83,53,154,88.33,31,0
361,194,83.2885,132,194,85.4242,129,1
362,138,83.5625,45,138,84.8553,33,1
363,194,84.29,84,194,86.09,108,1
364,153,79.5431,92,153,81.8077,69,1
365,141,77.8365,81,141,78.5152,74,1
366,256,86.36,45,256,87.76,47,1
367,148,83.23,83,148,84.41,85,1
368,87,79.1852,49,87,81.3333,41,1
369,93,79.6429,20,93,80.9737,26,1
370,189,85.69,85,189,84.68,99,1
371,58,79.8148,14,58,81.0556,13,0
372,146,79.91,123,146,81.78,79,1
373,98,84.1442,43,98,86.4545,27,1
374,107,83.7963,18,107,83.4444,25,1
375,17,85.2788,8,17,86.4545,8,1
376,194,80.3853,79,194,81.0161,73,1
377,59,77.2973,27,59,77.9524,27,1
378,93,78.26,50,93,80.33,41,1
379,49,82.99,8,49,83.33,8,1
380,112,82.1125,42,112,82.9118,40,1
381,153,83.66,9,153,85.97,8,1
382,153,83.36,12,153,85.62,11,1
383,119,83.78,21,119,71.79,21,1
384,148,85.0809,45,148,85.9651,50,1
385,157,79.93,59,157,81.52,60,1
386,117,85.193,12,117,88.0135,9,1
387,117,82.2281,47,117,84.7568,38,0
388,194,86.51,30,194,88.61,36,1
389,196,81.62,129,196,82.23,112,1
390,106,88.8519,7,106,92.6111,4,1
391,153,81.89,29,153,84.27,18,1
392,26,85.958,1,26,85.9607,2,1
393,211,79.5673,169,211,81.3939,154,1
394,174,84.4087,107,174,86.0985,64,0
395,74,81.1291,56,74,82.1923,53,0
396,174,88.0577,103,174,92.2727,55,1
397,96,88.2423,8,96,88.8342,4,1
398,140,79.5288,54,140,80.1515,68,0
399,171,82.7,104,171,82.8333,115,1
400,106,82.5962,29,106,82.5455,29,1
401,20,90.0667,3,20,91.3889,3,1
402,153,80.76,57,153,83.54,33,1
403,189,88.23,24,189,87.48,21,1
404,26,85.3784,1,26,85.4762,1,1
405,198,86.53,49,198,88.48,42,1
406,31,83.7568,3,31,82.9048,4,1
407,108,81.02,46,108,82.63,46,1
408,49,86.08,2,49,86.58,2,1
409,153,82.10,26,153,84.21,19,1
410,80,80.4074,18,80,80.1667,37,0
411,186,80.87,79,186,71.32,32,1
412,120,81.32,9,120,82.91,11,1
413,222,85.4038,83,222,86.3333,88,1
414,117,83.58,73,117,85.00,47,0
415,143,79.9038,51,143,80.0909,73,1
416,187,82.75,85,187,84.37,55,1
417,187,81.89,110,187,83.67,70,1
418,171,83.4667,75,171,83.2778,99,1
419,153,82.61,18,153,84.18,21,1
420,187,79.9318,154,187,80.5333,135,1
421,70,80.44,21,70,82.11,23,0
422,97,78.44,48,97,81.03,47,1
423,129,82.963,26,129,83,32,1
424,52,77.6667,33,49,78.6667,35,1
425,102,87.7963,5,102,89,7,1
426,102,87.2593,9,102,88.2778,10,0
427,102,87.6481,7,102,89.8333,4,1
428,211,81.67,92,211,83.36,91,1
429,189,85.84,78,189,88.06,15,1
430,102,81.3519,34,102,82.5,36,1
431,58,85.5072,3,58,87.9643,3,0
432,120,77.3193,64,120,79.4026,60,1
433,63,82.60,1,63,84.39,4,1
434,190,79.43,112,190,81.00,104,1
435,106,89.15,4,106,91.50,6,0
436,190,80.8889,61,190,82.2778,53,1
437,89,83.8333,7,89,86.4444,10,1
438,62,87.06,9,62,88.67,11,1
439,89,84.6296,5,89,87.1667,5,0
440,13,84.7067,5,13,86.1163,7,1
441,93,80.8077,33,93,85.3636,31,1
442,73,85.06,38,73,85.78,41,1
443,125,79.041,48,125,80.775,34,1
444,256,85.4231,59,256,86.1818,95,0
445,156,85.2,123,156,87.2051,116,0
446,173,80.89,94,173,81.53,69,1
447,153,80.9828,48,153,83.1026,41,1
448,107,91.5946,5,107,90.9524,16,1
449,75,81.7593,18,75,83.2778,17,1
450,75,81.7778,17,75,82.7778,26,1
451,75,81.0926,32,75,82.3333,34,1
452,222,83.7212,117,222,85.0303,112,1
453,75,83.1667,3,75,84.8333,3,1
454,142,76.7545,88,142,76.2222,80,1
455,153,80.1827,31,153,82.4848,23,1
456,173,88.1538,29,173,88.675,31,1
457,60,71.7642,37,60,72.6745,33,1
458,277,83.9808,251,277,86.697,190,1
459,119,82.64,30,119,69.67,37,1
460,54,80.1697,4,54,81.9714,4,1
461,64,78.4054,36,64,77.8571,36,1
462,42,79.5378,10,42,81.9639,10,1
463,34,84.849,12,34,83.2777,9,1
464,39,89.1892,1,39,88.0952,1,0
465,64,82.3513,1,64,81.9524,3,1
466,64,79.1081,22,64,78.619,19,1
467,154,83.3365,116,154,84.9697,112,1
468,89,81.5556,39,89,83.5556,45,1
469,97,82.963,22,97,81.7778,39,0
