RI, Na, Mg, Al, Si, K, Ca, Ba, Fe,Class,
151.588.824,1.287.795,343.036,140.066,73.282, 0.68931,804.468, 0.0, 0.1224, negative,0
15.176.423,129.777,353.812,121.127,73.002, 0.65205,852.888, 0.0, 0.0, negative,0
152.212.996,1.420.795,382.099, 0.46976, 71.77, 0.11178,95.726, 0.0, 0.0, negative,0
152.222.108,1.321.045,37.716, 0.79076,719.884, 0.13041,102.452, 0.0, 0.0, negative,0
151.755.118, 13.39,365.935,11.888,727.892, 0.57132,827.064, 0.0, 0.0561, negative,0
152.099.096,1.368.925,3.592,112.139,719.604, 0.08694,940.044, 0.0, 0.0, negative,0
151.755.118,131.506,360.996,105.077,732.372, 0.57132,823.836, 0.0, 0.0, negative,0
151.910.022,1.390.205,373.119,117.917,721.228, 0.0621,889.472, 0.0, 0.0, negative,0
151.793.844,1.321.045,347.975,141.029,72.638, 0.58995,843.204, 0.0, 0.0, negative,0
151.898.632,1.358.285,334.954,123.053,72.078, 0.58995,890.548, 0.0, 0.0, negative,0
151.215.232,12.991,347.077,112.139,729.796, 0.621,834.596, 0.0, 0.1581, negative,0
151.976.084,1.380.895,357.853,132.041,717.196, 0.11799,866.876, 0.68985, 0.0, negative,0
151.761.952,1.388.875,360.098,135.893,727.276, 0.47817,782.948, 0.0, 0.0, negative,0
151.784.732,1.267.845,366.833,115.991,731.084, 0.60858,870.104, 0.0, 0.0, negative,0
151.720.948,133.767,35.022,115.028,728.508, 0.50301,843.204, 0.0, 0.0, negative,0
151.746.006,1.283.805,35.022,114.065,732.708, 0.5589,85.504, 0.0, 0.0, negative,0
152.210.718,1.372.915,383.895, 0.72014,717.588, 0.16767,974.476, 0.0, 0.0, negative,0
151.823.458,128.713,347.975,129.152,729.516, 0.60237,843.204, 0.0, 0.0, negative,0
151.919.134,14.417,357.853,136.856,72.078, 0.5589,830.292, 0.0, 0.0, negative,0
151.761.952,1.279.815,365.935,126.905,730.076, 0.60237,856.116, 0.0, 0.0, negative,0
151.750.562,1.281.145,356.955,13.493,730.188, 0.621,859.344, 0.0, 0.0, negative,0
151.782.454,1.269.175,353.812,133.967,729.516, 0.57132,875.484, 0.0, 0.0, negative,0
151.793.844,127.915,35.022,112.139, 73.03, 0.63963,87.656, 0.0, 0.0, negative,0
151.837.126,131.373,284.217,127.868,728.508, 0.55269,906.688, 0.0, 0.0, negative,0
15.215.149,1.305.085,365.037, 0.87101,72.218, 0.19251,985.236, 0.0, 0.0867, negative,0
151.595.658,127.915,360.996,161.894,729.684, 0.63963,80.662, 0.0, 0.1326, negative,0
151.734.616,130.176,353.812,168.956,727.276, 0.54027,84.428, 0.0, 0.0357, negative,0
15.177.562,1.285.135,347.975,123.053,729.684, 0.60858,856.116, 0.09135, 0.1122, negative,0
151.777.898,1.321.045,338.995,133.004,727.612, 0.58995,859.344, 0.0, 0.0, negative,0
151.755.118,134.831,374.017,116.954,729.908, 0.58995,803.392, 0.0, 0.0, negative,0
15.215.149,1.305.085,365.037, 0.87101,723.188, 0.19251,985.236, 0.0, 0.0867, negative,0
151.743.728,132.969,360.098,114.065,730.916, 0.57753,81.738, 0.0, 0.0, negative,0
1.515.706,1.271.835,346.179,156.116,73.198, 0.67068,808.772, 0.0, 0.1224, negative,0
151.720.948,128.713,347.975,133.004,730.412, 0.5589,843.204, 0.0, 0.0, negative,0
151.910.022,1.388.875,352.914,132.041,718.092, 0.50922,877.636, 0.11025, 0.0, negative,0
151.869.018,131.905,337.199,117.917,72.722, 0.57132,883.016, 0.0, 0.0816, negative,0
152.171.992,135.097,38.614, 0.88064,717.924, 0.22977,954.032, 0.0, 0.0561, negative,0
151.755.118,1.299.765,360.098,135.893,729.908, 0.57132,839.976, 0.0, 0.0561, negative,0
151.761.952,1.281.145,353.812,123.053,732.372, 0.57753,8.389, 0.0, 0.0, negative,0
151.784.732,137.745,348.873,127.868,72.862, 0.60237,848.584, 0.0, 0.0, negative,0
15.175.284,1.257.205,347.077,13.814,733.884, 0.60237,85.504, 0.0, 0.0306, negative,0
15.178.701,1.273.165,343.036,11.888,729.516, 0.621,875.484, 0.0, 0.153, negative,0
152.320.062,137.225,372.221, 0.51149,717.476, 0.08694,10.568, 0.0, 0.0816, negative,0
15.229.956,133.102,357.853, 0.81965,719.884, 0.11799,1.017.516, 0.0, 0.0153, negative,0
152.101.374,136.427, 4.49,109.892,717.812, 0.0621,875.484, 0.0, 0.0, negative,0
151.750.562,128.181,355.159,149.054, 72.75, 0.54027,851.812, 0.0, 0.0969, negative,0
152.212.996,1.420.795,382.099, 0.46976, 71.77, 0.11178,95.726, 0.0, 0.0, negative,0
152.666.318,139.885,369.976, 0.71051,715.684, 0.01863,982.008, 0.0, 0.051, negative,0
151.925.968,1.319.715,333.158,127.868,72.358, 0.60237,91.422, 0.0, 0.0561, negative,0
152.171.992,134.831,374.017, 0.8999,720.108, 0.18009,960.488, 0.0, 0.0357, negative,0
151.618.438,1.352.965,355.159,153.869,729.908, 0.39123,777.568, 0.0, 0.0, negative,0
151.761.952,1.261.195,3.592,131.078,732.876, 0.57753,84.966, 0.0, 0.0, negative,0
151.768.786,1.255.875,352.016,142.955,731.476, 0.57132,853.964, 0.0, 0.0, negative,0
151.796.122,127.383,347.975,13.493,729.572, 0.63963,867.952, 0.0, 0.0, negative,0
151.807.512,134.299,286.911,11.888,728.396, 0.55269,90.346, 0.0, 0.0, negative,0
15.215.149,1.311.735,357.853, 0.8999,722.012, 0.22977,982.008, 0.0, 0.0816, negative,0
15.174.145,132.703,361.894,124.016,730.804, 0.55269,80.662, 0.0, 0.0, negative,0
151.748.284,12.858,356.057,126.905,732.092, 0.54027,837.824, 0.0, 0.0867, negative,0
151.736.894,127.782,361.894,129.152,727.892, 0.58995,870.104, 0.0, 0.0, negative,0
151.768.786,1.265.185,356.057,130.115,730.804, 0.60858,869.028, 0.0, 0.0714, negative,0
151.755.118,127.117,342.138,119.843,73.198, 0.58995,863.648, 0.0, 0.0, negative,0
151.768.786,1.245.235,271.196,129.152,73.702, 0.5589,905.612, 0.0, 0.1224, negative,0
151.905.466,136.028,361.894,110.855,72.638, 0.14283,875.484, 0.0, 0.0, negative,0
151.766.508,1.321.045,369.078,129.152, 72.61, 0.57132,821.684, 0.0, 0.0, negative,0
151.566.044,1.329.025,344.832,121.127,727.388, 0.5589,857.192, 0.0, 0.0, negative,0
152.226.664,1.416.805,381.201, 0.78113, 71.35, 0.0,969.096, 0.0, 0.0, negative,0
151.966.972,147.732,374.915, 0.29,72.022, 0.03105,900.232, 0.0, 0.0, negative,0
151.777.898,1.321.045,281.074,129.152,729.796, 0.50922,902.384, 0.0, 0.459, negative,0
15.219.705,143.609,384.793, 0.89027,713.612, 0.14904,915.296, 0.0, 0.0, negative,0
15.190.091,1.348.975,347.975,13.493,719.492, 0.55269,900.232, 0.0, 0.0, negative,0
151.848.516,136.427,387.038,126.905,719.604, 0.54027,832.444, 0.0, 0.1632, negative,0
151.818.902,137.225, 0.0, 0.55964,744.524, 0.0,1.099.292, 0.0, 0.0, negative,0
151.663.998,1.293.115,353.812,161.894,729.572, 0.63963,803.392, 0.0, 0.1071, negative,0
151.709.558,1.299.765,347.077,178.907,72.722, 0.65826,818.456, 0.0, 0.0, negative,0
151.689.056,126.718,287.809,170.882,732.092, 0.73278,853.964, 0.0, 0.0, negative,0
15.266.404,1.122.875, 0.0, 0.7715,732.092, 0.0,146.836, 0.0, 0.0, negative,0
151.850.794,1.319.715,362.792,107.003,728.284, 0.57132,841.052, 0.09135, 0.0867, negative,0
151.812.068,1.295.775,295.891,142.955,72.918, 0.60237,878.712, 0.1386, 0.0, negative,0
151.645.774,1.340.995,355.159,124.979,728.116, 0.6831,809.848, 0.0, 0.0, negative,0
151.629.828,127.117,333.158,149.054,73.282, 0.67068,823.836, 0.0, 0.0, negative,0
152.725.546,138.023,315.198, 0.65915,705.716, 0.08073,1.163.852, 0.0, 0.0, negative,0
151.891.798,1.346.315,382.997,125.942,725.484, 0.57132,820.608, 0.0, 0.0714, negative,0
151.871.296,1.293.115,365.935,156.116,725.092, 0.57753,85.504, 0.0, 0.0612, negative,0
152.176.548,137.491,101.025,135.893, 72.19, 0.32913,1.114.356, 0.0, 0.0, negative,0
15.162.755,1.299.765,357.853,153.869,728.284, 0.60858,804.468, 0.0, 0.0, negative,0
151.618.438,1.301.095,35.022,148.091, 72.89, 0.60237, 8.12, 0.0, 0.0, negative,0
15.160.477,128.979,343.934,144.881, 73.58, 0.44091,827.064, 0.0, 0.0, negative,0
15.170.728,137.225,36.818,181.154,720.612, 0.63963,788.328, 0.0, 0.0, negative,0
151.666.276,129.378,360.996,125.942, 72.75, 0.5589,86.042, 0.0, 0.0, negative,0
152.613.924,1.370.255, 0.0,135.893,71.238, 0.19251,1.343.544, 0.0, 0.051, negative,0
151.689.056,1.333.015,353.812,160.931,725.428, 0.6831,810.924, 0.0, 0.0, negative,0
151.645.774,134.432,360.996,153.869,723.916, 0.65826,803.392, 0.0, 0.0, negative,0
15.159.338,1.325.035,344.832,142.955, 73.17, 0.60858,786.176, 0.0, 0.0, negative,0
151.743.728,1.219.965,325.076,115.991,735.508, 0.621,889.472, 0.0, 0.1224, negative,0
152.474.966,114.482, 0.0,187.895, 72.19, 0.8073,1.324.176, 0.0, 0.1734, negative,0
151.828.014,1.323.705,390.181,141.029, 72.33, 0.55269,831.368, 0.0, 0.051, negative,0
151.789.288,131.905,390.181,130.115, 72.33, 0.55269,84.428, 0.0, 0.1428, negative,0
151.839.404,1.285.135,366.833,124.016,725.708, 0.621,867.952, 0.0, 0.1785, negative,0
15.159.338,1.309.075,3.592,151.943,730.972, 0.67068,782.948, 0.0, 0.0, negative,0
15.159.338,1.309.075,352.016,155.153,728.676, 0.6831,804.468, 0.0, 0.459, negative,0
151.588.824,1.311.735,340.791,158.042,732.596, 0.06831,8.389, 0.0, 0.0969, negative,0
151.818.902,126.186,276.135, 0.82928,738.084, 0.34776,942.196, 0.0, 0.102, negative,0
151.846.238,130.974,396.916,11.888,72.442, 0.60237,843.204, 0.0, 0.0, negative,0
152.080.872,1.378.235,228.092,142.955,719.884, 0.49059,985.236, 0.0, 0.0867, negative,0
151.711.836,1.289.125,361.894,157.079,729.572, 0.60858,810.924, 0.0, 0.0, negative,0
151.613.882,13.922,352.016,124.979,728.788, 0.3726,793.708, 0.0, 0.0714, negative,0
151.591.102,12.858,352.016,21.197,726.604, 0.68931,796.936, 0.0, 0.0, negative,0
151.841.682,130.176,361.894,10.604,723.412, 0.63963,913.144, 0.0, 0.0765, negative,0
152.408.904,138.289,290.054,116.954,711.484, 0.08073,1.078.848, 0.0, 0.0, negative,0
151.652.608,135.629,356.955,147.128,724.476, 0.63963,79.586, 0.0, 0.0, negative,0
15.184.396,1.325.035,375.813,132.041,724.028, 0.57753,842.128, 0.0, 0.0, negative,0
151.812.068,134.299,397.814,117.917,724.924, 0.57753,815.228, 0.0, 0.0, negative,0
151.632.106,133.368,356.955,157.079,728.676, 0.60858,789.404, 0.0, 0.0, negative,0
151.645.774,134.033,348.873,151.943,726.492, 0.67068,807.696, 0.0, 0.051, negative,0
152.222.108,144.274, 0.0, 0.99941,726.716, 0.09936,1.152.016, 0.0, 0.0408, negative,0
152.739.214,110.226, 0.0, 0.74903,730.804, 0.0,1.496.336, 0.0, 0.0, negative,0
151.686.778,132.304,353.812,148.091,728.396, 0.5589,809.848, 0.0, 0.0, negative,0
151.812.068,1.333.015,384.793,124.979,72.778, 0.52164, 8.12, 0.0, 0.0, negative,0
15.166.172,1.285.135,351.118,143.918,730.076, 0.6831,82.276, 0.5985, 0.1275, negative,0
151.572.878,1.485.965,366.833,174.092,718.708, 0.16146,735.604, 0.0, 0.0612, negative,0
151.625.272,1.335.675,357.853,149.054,72.722, 0.44712,820.608, 0.0, 0.0, negative,0
151.859.906,1.335.675,343.036,142.955,722.628, 0.50922,86.042, 0.0, 0.0, negative,0
15.173.006,123.526,272.094,162.857,728.676, 0.70173,922.828, 0.0, 0.0, negative,0
15.170.728,134.831,347.975,170.882,725.204, 0.621,799.088, 0.0, 0.0, negative,0
151.805.234,1.299.765,379.854,107.966,730.692, 0.5589,837.824, 0.0, 0.0612, negative,0
151.591.102,130.176,357.853,15.098,731.196, 0.68931,79.586, 0.0, 0.0, negative,0
151.568.322,1.323.705,348.873,147.128,732.484, 0.37881,803.392, 0.0, 0.0, negative,0
151.841.682,1.293.115,374.017,110.855,722.796, 0.63963,895.928, 0.0, 0.1122, negative,0
153.393,122.994, 0.0, 0.99941,701.628, 0.11799, 16.19, 0.0, 0.1224, negative,0
15.277.794,1.263.855, 0.0, 0.66878,72.022, 0.0621,1.440.384, 0.0, 0.0, negative,0
152.019.366,1.398.185,135.149,162.857,717.588, 0.39123,1.056.252, 0.0, 0.51, negative,0
151.800.678,137.092,392.875,153.869,718.092, 0.54027,820.608, 0.0, 0.0765, negative,0
151.591.102,128.181,352.016,190.142,72.862, 0.68931,796.936, 0.0, 0.0, negative,0
15.163.894,125.521,347.975,186.932,732.316, 0.62721,807.696, 0.0, 0.459, negative,0
151.591.102,1.323.705,334.056,147.128,730.972, 0.39123,821.684, 0.0, 0.0, negative,0
151.654.886,127.516,285.115,143.918,732.708, 0.57132,878.712, 0.11025, 0.1122, negative,0
15.167.311,132.969,364.139,152.906,725.316, 0.65205,803.392, 0.0, 0.1479, negative,0
152.176.548,1.319.715,36.818,115.028, 72.75, 0.54027,851.812, 0.0, 0.0, negative,0
15.167.311,128.713,356.057,164.141,73.142, 0.65205,799.088, 0.0, 0.0, negative,0
151.595.658,130.176,356.057,153.869,731.084, 0.72036,79.048, 0.0, 0.0, negative,0
151.408.862,1.424.785,308.912,208.118,722.796,109.917,707.628, 0.0, 0.0, negative,0
153.124.196, 10.73, 0.0,210.044, 69.81, 0.57753,1.329.556, 3.15, 0.1428, negative,0
151.846.238,1.340.995,388.834,133.004,723.804, 0.50922,82.814, 0.0, 0.0, negative,0
152.067.204,135.496,208.785,16.703,721.788, 0.52785,95.726, 0.2709, 0.0867, negative,0
15.167.311,127.915,352.016,153.869,733.604, 0.65826,79.048, 0.0, 0.0, negative,0
151.659.442,12.991,317.892,123.053,729.684, 0.57753,880.864, 0.0, 0.1224, negative,0
15.177.562,1.352.965,340.791,151.943,720.388, 0.57753,878.712, 0.0, 0.0, negative,0
151.609.326,1.333.015,352.914,133.967,726.716, 0.5589,83.352, 0.0, 0.0, negative,0
151.663.998,131.373,344.832,176.018,724.812, 0.60237,837.824, 0.0, 0.0867, negative,0
152.121.876,140.284,375.813, 0.5789,717.924, 0.11178,964.792, 0.0, 0.0, negative,0
151.645.774,1.303.755,339.893,125.942,730.076, 0.52164,858.268, 0.0, 0.0, negative,0
152.210.718,14.188,378.058, 0.90953,713.612, 0.22977,91.422, 0.0, 0.1887, negative,0
151.693.612,12.858,357.853,131.078, 72.61, 0.60858,878.712, 0.0, 0.0, negative,0
151.777.898,136.427,365.037, 0.64952,73.002, 0.0621,8.927, 0.0, 0.0, negative,0
151.796.122,1.350.305,335.852,162.857,71.938, 0.57132,880.864, 0.0, 0.459, negative,0
151.609.326,1.342.325,339.893,12.209,726.884, 0.58995,832.444, 0.0, 0.0, negative,0
15.193.508,136.427,353.812, 0.74903,726.492, 0.16146,889.472, 0.1512, 0.1224, negative,0
151.768.786,1.364.935,365.935,110.855,727.724, 0.11178,86.042, 0.0, 0.0, negative,0
15.183.257,1.333.015,334.056,153.869,721.396, 0.5589,899.156, 0.0, 0.0, negative,0
151.670.832,1.323.705,356.955,13.814,726.996, 0.5589,84.428, 0.0, 0.051, negative,0
151.654.886,1.340.995,338.995,127.868,72.638, 0.52164,864.724, 0.0, 0.0, negative,0
152.126.432,14.321,390.181, 0.82928,715.012, 0.0,948.652, 0.0, 0.0, negative,0
151.643.496,1.215.975,352.016,13.493, 72.89, 0.57132,852.888, 0.0, 0.0, negative,0
15.196.925,1.263.855, 0.0,165.104,737.524, 0.37881,1.153.092, 0.0, 0.0, negative,0
151.914.578,1.273.165,184.988,185.969,726.884, 0.60237,1.008.908, 0.0, 0.0, negative,0
15.151.365,1.400.845,268.053, 3.5,698.884,168.291,587.116,21.987, 0.0, negative,0
151.315.464,130.176, 0.0,304.097,70.482, 6.21,695.792, 0.0, 0.0, negative,0
152.119.598,1.297.105, 0.32777,15.098,733.884, 0.13041,1.127.268, 0.0, 0.1428, negative,0
15.215.149,1.102.925,171.069,156.116,734.388, 0.57753,11.617, 0.0, 0.0, negative,0
15.132.002,1.299.765, 0.0,30.185,707.004, 6.21,692.564, 0.0, 0.0, negative,0
151.666.276,12.858, 0.0,18.308,738.812, 0.96876,1.017.516, 0.0, 0.0, negative,0
1.523.679,134.432, 0.0,158.042,72.218, 0.32292,1.224.108, 0.0, 0.0, negative,0
152.042.146,133.767, 0.0,140.066,722.516, 0.32913,1.249.932, 0.0, 0.0, negative,0
151.994.308,132.703, 0.0,176.018, 73.03, 0.47196,1.131.572, 0.0, 0.0, negative,0
152.058.092,1.285.135,161.191,217.106,721.788, 0.75762,970.172, 0.2394, 0.2601, negative,0
152.171.992,1.156.125,188.131,156.116,72.862, 0.47196,1.141.256, 0.0, 0.0, negative,0
15.196.925,145.604, 0.0, 0.55964,73.478, 0.0,1.121.888, 0.0, 0.0, negative,0
151.115, 17.38, 0.0, 0.34136, 75.41, 0.0,664.588, 0.0, 0.0, negative,0
151.937.358,13.789,241.113,11.888,727.612, 0.0,976.628, 0.0, 0.0, negative,0
151.828.014,1.446.065,224.051,161.894,723.804, 0.0,926.056, 0.0, 0.0, negative,0
151.853.072,1.408.825,219.112,166.067,726.716, 0.0,932.512, 0.0, 0.0, negative,0
151.299.518,144.008,174.212,153.869,745.476, 0.0,759.276, 0.0, 0.0, negative,0
151.887.242,1.499.265, 0.78126,174.092,72.498, 0.0,99.492, 0.0, 0.0, negative,0
151.905.466,140.018,238.868,156.116,723.692, 0.0,95.726, 0.0, 0.0, negative,0
151.916.856,141.481, 0.0,209.081,727.388, 0.0,1.088.532, 0.0, 0.0, negative,0
151.613.882,138.821,177.804,178.907,730.972, 0.0,866.876, 0.75915, 0.0, positive,1
151.509.094,1.515.225, 0.0,225.131,735.004, 0.0,83.352, 0.63, 0.0, positive,1
152.247.166,1.485.965,22.001,205.871,70.258, 0.75762,975.552, 0.0, 0.0, positive,1
151.652.608,1.194.695, 0.0,11.888,751.804,270.135,8.927, 0.0, 0.0, positive,1
152.064.926,143.609, 0.0,202.019,73.422, 0.0,84.428,164.115, 0.0, positive,1
151.130.946,1.368.925,320.137,181.154,728.116,175.743, 5.43,11.907, 0.0, positive,1
151.556.932,138.688, 0.0,254.021,732.316, 0.14283,94.112, 0.80955, 0.0051, positive,1
15.163.894,1.436.755, 0.0,273.923,728.508, 0.0,945.424, 0.53865, 0.0, positive,1
152.315.506,134.432,334.056,123.053,723.804, 0.60237,883.016, 0.0, 0.0, positive,1
151.545.542,1.414.145, 0.0,268.145,733.884, 0.08073,906.688, 0.6111, 0.0255, positive,1
15.165.033,1.438.085, 0.0,193.994,736.124, 0.0,847.508,15.687, 0.0, positive,1
151.682.222,145.604, 0.0,197.846,732.876, 0.0,851.812,15.687, 0.0357, positive,1
151.645.774,1.493.945, 0.0,186.932,731.084, 0.0,866.876,13.797, 0.0, positive,1
15.171.867,1.475.325, 0.0,200.093,730.188, 0.0,852.888,159.075, 0.0408, positive,1
15.161.616,1.495.275, 0.0,227.057,732.988, 0.0,87.118, 0.67095, 0.0, positive,1
151.711.836,142.279, 0.0,208.118,733.604, 0.0,861.496,16.695, 0.0, positive,1
152.365.622,1.579.065,183.192,131.078,704.316, 0.3105,861.496,167.895, 0.0, positive,1
15.151.365,14.853, 0.0,242.144,737.188, 0.0,8.389, 0.5607, 0.0, positive,1
1.516.845,149.195, 0.0,19.913, 73.58, 0.0,839.976,159.075, 0.0, positive,1
151.622.994,142.013, 0.0,279.059,734.612, 0.03726,904.536, 0.40005, 0.459, positive,1
151.531.874,1.438.085, 0.0,265.898,730.972, 0.03726,907.764, 0.63945, 0.0, positive,1
151.609.326,15.126, 0.0,251.132,730.524, 0.04968,883.016, 0.5292, 0.0, positive,1
151.830.292,143.875, 0.0,182.117,72.862,140.967,647.372,28.791, 0.0, positive,1
151.602.492,14.853, 0.0,237.971,73.282, 0.0,875.484, 0.63945, 0.459, positive,1
151.727.782,1.470.005, 0.0,234.119,73.282, 0.0,894.852, 0.6615, 0.0, positive,1
151.622.994,1.414.145, 0.0,288.047, 72.61, 0.08073,918.524,106.155, 0.0, positive,1
151.837.126,14.321,325.974,221.921,712.492,145.935,578.508,162.855, 0.0, positive,1
151.657.164,147.998, 0.0,19.913,731.084, 0.0,82.814,171.045, 0.0, positive,1
151.732.338,1.495.275, 0.0,17.987,729.908, 0.0,861.496,15.498, 0.0, positive,1
